,Player,Position,EspnId,EspnHeadshot
315,Jeff Skinner,C,5540,https://a.espncdn.com/i/headshots/nhl/players/full/5540.png
316,Teddy Blueger,C,3024916,https://a.espncdn.com/i/headshots/nhl/players/full/3024916.png
317,Valeri Nichushkin,RW,3042003,https://a.espncdn.com/i/headshots/nhl/players/full/3042003.png
318,Ryan Hartman,RW,3042063,https://a.espncdn.com/i/headshots/nhl/players/full/3042063.png
319,Esa Lindell,D,3069352,https://a.espncdn.com/i/headshots/nhl/players/full/3069352.png
320,Viktor Arvidsson,LW,3120307,https://a.espncdn.com/i/headshots/nhl/players/full/3120307.png
321,Andrew Mangiapane,LW,3149619,https://a.espncdn.com/i/headshots/nhl/players/full/3149619.png
322,Garnet Hathaway,RW,3149633,https://a.espncdn.com/i/headshots/nhl/players/full/3149633.png
323,Jake Middleton,D,3149839,https://a.espncdn.com/i/headshots/nhl/players/full/3149839.png
324,Alex Iafallo,LW,3652598,https://a.espncdn.com/i/headshots/nhl/players/full/3652598.png
325,Tommy Novak,C,3942061,https://a.espncdn.com/i/headshots/nhl/players/full/3942061.png
326,Alexandre Carrier,D,3942064,https://a.espncdn.com/i/headshots/nhl/players/full/3942064.png
327,Vladislav Gavrikov,D,3942292,https://a.espncdn.com/i/headshots/nhl/players/full/3942292.png
328,Niko Mikkola,D,3942354,https://a.espncdn.com/i/headshots/nhl/players/full/3942354.png
329,Nicolas Roy,C,3943996,https://a.espncdn.com/i/headshots/nhl/players/full/3943996.png
330,Tyler Myers,D,5052,https://a.espncdn.com/i/headshots/nhl/players/full/5052.png
331,Marcus Johansson,LW,5714,https://a.espncdn.com/i/headshots/nhl/players/full/5714.png
332,Jonas Brodin,D,2562600,https://a.espncdn.com/i/headshots/nhl/players/full/2562600.png
333,Brandon Saad,LW,2563065,https://a.espncdn.com/i/headshots/nhl/players/full/2563065.png
334,Ryan Pulock,D,3042019,https://a.espncdn.com/i/headshots/nhl/players/full/3042019.png
335,Jason Dickinson,C,3042062,https://a.espncdn.com/i/headshots/nhl/players/full/3042062.png
336,Alexander Kerfoot,C,3069394,https://a.espncdn.com/i/headshots/nhl/players/full/3069394.png
337,Yanni Gourde,C,3094261,https://a.espncdn.com/i/headshots/nhl/players/full/3094261.png
338,Mason Appleton,C,3942043,https://a.espncdn.com/i/headshots/nhl/players/full/3942043.png
339,Sam Steel,C,4024998,https://a.espncdn.com/i/headshots/nhl/players/full/4024998.png
