,PlayerID,Player,Position,Team,Age,ATOI,Gper1kChunk,A1per1kChunk,A2per1kChunk
82,8471240,Jeff Schultz,D,LAK,29,21.00307454609209,1.0563392958989957,1.167605071533017,1.6057724109510096
83,8475176,Ryan Ellis,D,PHI,24,21.002135186449273,3.031285100863637,3.9178486749766734,2.754088543416597
84,8474218,Jason Demers,D,EDM,27,20.977203728725858,2.480732351661086,3.614608333049016,2.7971145366321197
85,8471685,Anze Kopitar,C,LAK,28,20.929612851814554,7.375963374810942,7.114872375077471,7.375085953734238
86,8470699,Jan Hejda,D,COL,37,20.886262365807283,1.070784568786621,1.5995752811431885,2.0213005542755127
87,8470828,Toby Enstrom,D,WPG,31,20.773856195391602,0.7704628940423275,1.803115970211287,3.0447714598731053
88,8474618,Marco Scandella,D,STL,25,20.71025413144606,1.7984203248671795,2.271413023148491,3.030323995006679
89,8475177,Calvin de Haan,D,TBL,24,20.70524735075823,0.7451846761478547,2.299819542108286,2.512542529771741
90,8476473,Connor Murphy,D,CHI,22,20.655886193417064,1.8458111849597034,1.2550699756946802,2.263694292960314
91,8468542,Paul Martin,D,SJS,34,20.655409194698773,0.9347536098494681,2.18591368097472,3.092065086152468
92,8474581,Jake Gardiner,D,CAR,25,20.630341906281792,2.1345808419377317,3.370687812555892,3.9957370048884076
93,8470760,Marc Methot,D,DAL,30,20.62260569965762,1.6455786074804746,1.2076410067806982,1.5712379699216759
94,8473512,Claude Giroux,R,OTT,27,20.564673047752827,6.888624336686081,7.849232257365723,6.231709100741509
95,8474027,Justin Braun,D,PHI,28,20.562796887421637,1.2124486695585257,3.323286189306546,2.4452103927133617
96,8471296,Alexei Emelin,D,NSH,29,20.54193718383187,0.13058348399836842,1.1428419407024695,3.0126249927457027
97,8464956,Chris Phillips,D,OTT,37,20.524683336091307,1.070784568786621,1.4362740516662598,1.7840187549591064
98,8471675,Sidney Crosby,C,PIT,28,20.4911050606732,10.944766453759785,8.603190445649416,6.431059302601499
99,8470630,Kevin Klein,D,NYR,31,20.474480852857706,2.9707533915429405,1.567085609939097,4.296574957697313
100,8470324,Josh Gorges,D,BUF,31,20.436097180314228,0.6611887204403412,0.6798164512518556,2.492263027303044
101,8474141,Patrick Kane,R,DET,27,20.436093160089673,13.748717284528983,12.254291492732353,5.6788180088271885
102,8469770,Dennis Wideman,D,CGY,32,20.40540546328036,1.5977155642371843,3.798622286834564,4.43434013836762
103,8470257,Alexander Steen,L,STL,31,20.40115625998101,6.537201606517378,7.2664930777906385,5.359278874868879
104,8469665,Johnny Oduya,D,PHI,34,20.387146714651845,1.1969239055627037,2.6930787875160833,2.3938478111254073
105,8471276,David Krejci,C,BOS,29,20.371706345498453,5.722511230607825,9.349399298055495,6.042044952063681
106,8468639,John-Michael Liles,D,BOS,35,20.336287247946554,1.8186436952973801,2.4359814388475494,2.1435471001614275
107,8471214,Alex Ovechkin,L,WSH,30,20.318870349642783,15.531056238527665,2.014155349399806,4.63144156384714
108,8475218,Mattias Ekholm,D,EDM,25,20.31755239765448,2.4099047083512755,3.614857062526913,4.518571328158641
109,8476463,Jonas Brodin,D,MIN,22,20.30291190069168,0.8404263177453623,1.2482945740095908,1.0335603784654803
110,8477498,Darnell Nurse,D,EDM,20,20.27621783851598,1.0737342098785443,1.1023186014841075,1.4112608634254573
111,8475913,Mark Stone,R,VGK,23,20.257110515063907,7.582397474733618,6.903285691195016,5.649190130145776
112,8474594,Slava Voynov,D,LAK,25,20.23231263629505,1.42555832862854,3.686467170715332,4.11605978012085
113,8471958,Dan Girardi,D,TBL,31,20.222996404320867,0.7045991407123479,1.998808629903693,2.948802101587866
114,8475790,Erik Gudbranson,D,CBJ,23,20.2191911959975,0.9761802376886042,1.2615634831160056,1.7847325650888397
