,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
353,8474157.0,Max Pacioretty,L,WSH,35,47.0,4.0,19.0,23.0
354,8480043.0,Timothy Liljegren,D,TOR,24,55.0,3.0,20.0,23.0
355,8480873.0,Rasmus Sandin,D,WSH,23,68.0,3.0,20.0,23.0
356,8470621.0,Corey Perry,R,EDM,38,54.0,12.0,10.0,22.0
357,8473449.0,Kyle Okposo,R,BUF,35,67.0,12.0,10.0,22.0
358,8475343.0,Nic Dowd,C,WSH,33,64.0,12.0,10.0,22.0
359,8477446.0,Michael McCarron,R,NSH,28,70.0,12.0,10.0,22.0
360,8481517.0,Brett Leason,R,ANA,24,68.0,11.0,11.0,22.0
361,8478970.0,Jalen Chatfield,D,CAR,27,72.0,8.0,14.0,22.0
362,8481014.0,Alexander Romanov,D,NYI,23,81.0,7.0,15.0,22.0
363,8477953.0,Kasperi Kapanen,R,STL,27,73.0,6.0,16.0,22.0
364,8482087.0,Kaiden Guhle,D,MTL,21,70.0,6.0,16.0,22.0
365,8476885.0,Jacob Trouba,D,NYR,29,69.0,3.0,19.0,22.0
366,8480281.0,Alexey Toropchenko,R,STL,24,82.0,14.0,7.0,21.0
367,8482157.0,Will Cuylle,L,NYR,21,81.0,13.0,8.0,21.0
368,8478013.0,Jake Walman,D,DET,27,63.0,12.0,9.0,21.0
369,8475714.0,Calle Jarnkrok,C,TOR,32,52.0,10.0,11.0,21.0
370,8471218.0,Blake Wheeler,R,NYR,37,54.0,9.0,12.0,21.0
371,8475220.0,Marcus Foligno,L,MIN,32,55.0,9.0,12.0,21.0
372,8476897.0,Oskar Sundqvist,C,STL,29,71.0,6.0,15.0,21.0
373,8479359.0,Beck Malenstyn,L,WSH,25,81.0,6.0,15.0,21.0
374,8480891.0,Michael Kesselring,D,ARI,23,65.0,5.0,16.0,21.0
375,8481178.0,Egor Zamula,D,PHI,23,66.0,5.0,16.0,21.0
376,8479983.0,Mario Ferraro,D,SJS,25,78.0,3.0,18.0,21.0
377,8475225.0,Craig Smith,C,DAL,34,75.0,11.0,9.0,20.0
378,8476981.0,Josh Anderson,R,MTL,29,78.0,9.0,11.0,20.0
379,8475455.0,Brenden Dillon,D,WPG,33,77.0,8.0,12.0,20.0
380,8481577.0,Philip Tomasino,C,NSH,22,41.0,7.0,13.0,20.0
381,8477507.0,Nikita Zadorov,D,VAN,28,75.0,6.0,14.0,20.0
382,8475279.0,Ben Chiarot,D,DET,32,77.0,5.0,15.0,20.0
383,8478851.0,Alexandre Carrier,D,NSH,27,73.0,4.0,16.0,20.0
384,8480035.0,Henri Jokiharju,D,BUF,24,74.0,3.0,17.0,20.0
385,8480073.0,Erik Brannstrom,D,OTT,24,76.0,3.0,17.0,20.0
386,8475179.0,Dmitry Kulikov,D,FLA,33,76.0,1.0,19.0,20.0
387,8481554.0,Kaapo Kakko,R,NYR,22,61.0,13.0,6.0,19.0
388,8480980.0,Connor Dewar,C,MIN,24,74.0,11.0,8.0,19.0
389,8479415.0,Michael McLeod,C,NJD,25,45.0,10.0,9.0,19.0
390,8482097.0,Jack Quinn,R,BUF,22,27.0,9.0,10.0,19.0
391,8479353.0,Brett Howden,C,VGK,25,72.0,8.0,11.0,19.0
392,8480144.0,David Kampf,C,TOR,28,78.0,8.0,11.0,19.0
393,8473504.0,Cal Clutterbuck,R,NYI,36,82.0,7.0,12.0,19.0
394,8475164.0,Jakob Silfverberg,R,ANA,33,81.0,7.0,12.0,19.0
395,8476889.0,Radek Faksa,C,DAL,29,74.0,7.0,12.0,19.0
396,8471699.0,Andrew Cogliano,C,COL,36,75.0,6.0,13.0,19.0
