Simulation,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
1,8473507.0,Jeff Petry,D,DET,36,73,3,21,24
1,8480246.0,Nick Perbix,D,TBL,25,77,2,22,24
1,8481606.0,Jordan Spence,D,LAK,22,71,2,22,24
1,8477947.0,Sonny Milano,L,WSH,27,49,15,8,23
1,8475793.0,Ryan Johansen,C,COL,31,63,13,10,23
1,8480821.0,Filip Zadina,R,SJS,24,72,13,10,23
1,8474149.0,Evgenii Dadonov,R,DAL,34,51,12,11,23
1,8475231.0,Casey Cizikas,C,NYI,32,70,10,13,23
1,8474884.0,Mike Hoffman,C,SJS,34,66,10,13,23
1,8482062.0,Cole Smith,L,NSH,28,80,9,14,23
1,8478882.0,Vladislav Gavrikov,D,LAK,28,77,6,17,23
1,8474157.0,Max Pacioretty,L,WSH,35,47,4,19,23
1,8480873.0,Rasmus Sandin,D,WSH,23,68,3,20,23
1,8480043.0,Timothy Liljegren,D,TOR,24,55,3,20,23
1,8475343.0,Nic Dowd,C,WSH,33,64,12,10,22
1,8470621.0,Corey Perry,R,EDM,38,54,12,10,22
1,8473449.0,Kyle Okposo,R,BUF,35,67,12,10,22
1,8477446.0,Michael McCarron,R,NSH,28,70,12,10,22
1,8481517.0,Brett Leason,R,ANA,24,68,11,11,22
1,8478970.0,Jalen Chatfield,D,CAR,27,72,8,14,22
1,8481014.0,Alexander Romanov,D,NYI,23,81,7,15,22
1,8482087.0,Kaiden Guhle,D,MTL,21,70,6,16,22
1,8477953.0,Kasperi Kapanen,R,STL,27,73,6,16,22
1,8476885.0,Jacob Trouba,D,NYR,29,69,3,19,22
1,8480281.0,Alexey Toropchenko,R,STL,24,82,14,7,21
1,8482157.0,Will Cuylle,L,NYR,21,81,13,8,21
1,8478013.0,Jake Walman,D,DET,27,63,12,9,21
1,8475714.0,Calle Jarnkrok,C,TOR,32,52,10,11,21
1,8475220.0,Marcus Foligno,L,MIN,32,55,9,12,21
1,8471218.0,Blake Wheeler,R,NYR,37,54,9,12,21
1,8479359.0,Beck Malenstyn,L,WSH,25,81,6,15,21
1,8476897.0,Oskar Sundqvist,C,STL,29,71,6,15,21
1,8481178.0,Egor Zamula,D,PHI,23,66,5,16,21
1,8480891.0,Michael Kesselring,D,ARI,23,65,5,16,21
1,8479983.0,Mario Ferraro,D,SJS,25,78,3,18,21
1,8475225.0,Craig Smith,C,DAL,34,75,11,9,20
1,8476981.0,Josh Anderson,R,MTL,29,78,9,11,20
1,8475455.0,Brenden Dillon,D,WPG,33,77,8,12,20
1,8481577.0,Philip Tomasino,C,NSH,22,41,7,13,20
1,8477507.0,Nikita Zadorov,D,VAN,28,75,6,14,20
1,8475279.0,Ben Chiarot,D,DET,32,77,5,15,20
1,8478851.0,Alexandre Carrier,D,NSH,27,73,4,16,20
1,8480035.0,Henri Jokiharju,D,BUF,24,74,3,17,20
1,8480073.0,Erik Brannstrom,D,OTT,24,76,3,17,20
1,8475179.0,Dmitry Kulikov,D,FLA,33,76,1,19,20
1,8481554.0,Kaapo Kakko,R,NYR,22,61,13,6,19
1,8480980.0,Connor Dewar,C,MIN,24,74,11,8,19
1,8479415.0,Michael McLeod,C,NJD,25,45,10,9,19
1,8482097.0,Jack Quinn,R,BUF,22,27,9,10,19
1,8480144.0,David Kampf,C,TOR,28,78,8,11,19
1,8479353.0,Brett Howden,C,VGK,25,72,8,11,19
1,8475164.0,Jakob Silfverberg,R,ANA,33,81,7,12,19
1,8476889.0,Radek Faksa,C,DAL,29,74,7,12,19
1,8473504.0,Cal Clutterbuck,R,NYI,36,82,7,12,19
1,8475855.0,Jesper Fast,R,CAR,32,73,6,13,19
1,8477380.0,Jonny Brodzinski,C,NYR,30,57,6,13,19
1,8471699.0,Andrew Cogliano,C,COL,36,75,6,13,19
1,8477506.0,Ryan Pulock,D,NYI,29,58,5,14,19
1,8480172.0,Jan Rutta,D,SJS,33,69,5,14,19
1,8482073.0,Braden Schneider,D,NYR,22,82,5,14,19
1,8478432.0,Christian Fischer,R,DET,26,79,5,14,19
1,8479410.0,Mikhail Sergachev,D,TBL,25,34,2,17,19
1,8475690.0,Chris Tanev,D,CGY,34,75,2,17,19
1,8480878.0,Nils Lundkvist,D,DAL,23,59,2,17,19
1,8479316.0,Luke Kunin,C,SJS,26,77,11,7,18
1,8480289.0,Morgan Barron,C,WPG,25,80,11,7,18
1,8476374.0,Sean Kuraly,C,CBJ,30,62,9,9,18
1,8480448.0,Parker Kelly,L,OTT,24,80,8,10,18
1,8478434.0,Keegan Kolesar,R,VGK,26,79,8,10,18
1,8475462.0,Radko Gudas,D,ANA,33,66,6,12,18
1,8480220.0,Noah Cates,L,PHI,24,59,6,12,18
1,8476457.0,Adam Larsson,D,SEA,31,81,4,14,18
1,8477932.0,Aaron Ekblad,D,FLA,27,51,4,14,18
1,8477365.0,Connor Clifton,D,BUF,28,79,4,14,18
1,8476874.0,Olli Maatta,D,DET,29,72,4,14,18
1,8479398.0,Samuel Girard,D,COL,25,59,3,15,18
1,8479998.0,Mikey Anderson,D,LAK,24,74,2,16,18
1,8480049.0,Dylan Samberg,D,WPG,24,78,1,17,18
1,8478508.0,Yakov Trenin,C,NSH,26,76,12,5,17
1,8477903.0,Garnet Hathaway,R,PHI,32,82,7,10,17
1,8480995.0,Pontus Holmberg,R,TOR,24,54,7,10,17
